0.0449, 0.3987
0.3816, 0.5847
0.5548, 0.2117
0.9, 0.3012
0.932, 0.0165
0.8183, 0.2572
0.7307, 0.3526
0.5864, 0.645
0.7631, 0.9272
0.3053, 0.5049
0.9122, 0.8599
0.9065, 0.9287
0.9458, 0.0145
0.8929, 0.8792
0.1028, 0.2249
0.176, 0.5321
0.6784, 0.9536
0.4398, 0.1642
0.1914, 0.8768
0.7909, 0.1407
0.3862, 0.3849
0.0009, 0.9668
0.789, 0.7954
0.793, 0.5154
0.6869, 0.762
0.0869, 0.1367
0.4005, 0.3671
0.2612, 0.6757
0.1806, 0.4234
0.2892, 0.1557
0.8706, 0.3615
0.8104, 0.7874
0.7388, 0.9518
0.299, 0.6415
0.7603, 0.5834
0.3388, 0.3409
0.7272, 0.2008
0.7403, 0.8962
0.8026, 0.1289
0.1975, 0.3341
0.3187, 0.6168
0.7891, 0.055
0.0684, 0.7901
0.7517, 0.6271
0.5495, 0.9713
0.6274, 0.9986
0.1343, 0.8274
0.0358, 0.1765
0.2151, 0.417
0.148, 0.592
0.126, 0.6652
0.6086, 0.182
0.3491, 0.4896
0.2415, 0.548
0.6946, 0.5516
0.7874, 0.1454
0.7296, 0.6076
0.9639, 0.3902
0.2561, 0.9662
0.1348, 0.3192
0.6478, 0.6889
0.4844, 0.8356
0.711, 0.1469
0.3385, 0.4238
0.2351, 0.7625
0.9176, 0.613
0.64, 0.6076
0.6312, 0.5829
0.5655, 0.5104
0.6273, 0.232
0.1242, 0.1826
0.4609, 0.3993
0.3435, 0.7345
0.469, 0.9995
0.8183, 0.0056
0.0263, 0.9067
0.0458, 0.4354
0.88, 0.7647
0.8939, 0.1169
0.2311, 0.8586
0.4333, 0.3647
0.5292, 0.0958
0.6875, 0.4414
0.9803, 0.9055
0.1827, 0.0182
0.8783, 0.8597
0.4539, 0.5177
0.6239, 0.3912
0.7776, 0.4427
0.3148, 0.263
0.0072, 0.0543
0.6859, 0.3798
0.6353, 0.8015
0.4073, 0.4904
0.2271, 0.8617
0.1813, 0.9143
0.0606, 0.0389
0.6226, 0.7427
0.9081, 0.5632
0.3081, 0.4671
0.3799, 0.1684
0.7565, 0.9223
0.1253, 0.0722
0.9686, 0.3191
0.4628, 0.1322
0.4031, 0.8008
0.7621, 0.4296
0.4615, 0.6272
0.9768, 0.8011
0.5409, 0.5701
0.3458, 0.1657
0.8423, 0.2793
0.6524, 0.0343
0.582, 0.0648
0.4192, 0.6064
0.03, 0.4307
0.2177, 0.8283
0.3393, 0.615
0.0613, 0.659
0.5717, 0.8814
0.7432, 0.2666
0.3611, 0.1799
0.775, 0.4153
0.7423, 0.6937
0.1316, 0.1733
0.5905, 0.5872
0.175, 0.5867
0.6148, 0.7529
0.4034, 0.4122
0.9653, 0.8914
0.9184, 0.37
0.1379, 0.7947
0.5235, 0.0403
0.0998, 0.4003
0.7077, 0.9937
0.2937, 0.2126
0.307, 0.0632
0.9411, 0.4577
